,ARG,ABW,AUS,AUT,BHS,BHR,BRB,BEL,BMU,BOL,BRA,BGR,CAN,CYM,CHL,HKG,MAC,COL,CRI,CMQ,CYP,CZE,DNK,EGY,EST,FIN,FRA,DEU,GIB,GRC,GGY,HUN,ISL,IND,IDN,IRL,IMN,ISR,ITA,JPN,JEY,KAZ,KOR,KWT,LVA,LBN,LTU,LUX,MYS,MLT,MUS,MEX,MNG,NLD,NZL,NOR,PAK,PAN,PHL,POL,PRT,ROU,RUS,SGP,SVK,SVN,ZAF,ESP,SWE,CHE,THA,TUR,UKR,GBR,USA,URY,VEN
PRY,3,,0,0,,,0,,0,,5,0,,3,0,0,,0,,,0,,0,0,,0,,0,,,8,,,,0,1,0,,,0,,0,0,,,,0,55,,,0,,,0,,,,0,,C,0,,0,,,0,4,0,0,0,,0,,-2,47,0,0
PER,0,,31,66,31,1,6,25,"1,120",14,11,0,277,41,451,5,,96,3,58,0,1,576,0,,C,87,"1,264",,0,138,0,,,9,323,5,,127,421,59,0,19,,1,0,0,"3,038",0,,0,1,,838,C,108,,298,,C,0,,0,C,1,2,1,C,125,149,1,0,,"2,025","8,900",1,0
PHL,0,,"4,819",144,1,4,0,25,"1,366",,1,0,763,36,0,657,0,0,,3,0,0,846,0,,52,413,"1,510",,1,571,0,0,18,2,"1,271",1,4,253,"2,830",25,0,138,,1,0,0,"6,018",265,,17,,,"1,365",C,"3,888",,0,,0,0,,0,"4,545",2,1,7,C,86,"1,130",1,0,,"3,014","17,855",0,0
PCN,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,0,0,,0,,0,,,0,,,,0,0,0,,,0,,0,0,,,,0,0,,,0,,,0,,,,0,,0,0,,0,,,0,,0,0,0,,0,,3,0,,0
POL,0,,629,"5,940",,11,0,"2,175",334,,0,94,669,,0,198,16,0,,6,125,"1,243",995,8,94,461,"5,931","18,465",,402,"1,008",522,0,,0,"4,912",0,32,"2,012","6,881","1,408",42,270,,50,3,34,"16,729",1,34,2,,0,"3,393",C,"1,448",,1,0,,209,32,103,C,994,233,1,517,627,"3,618",13,0,,"6,422","24,221",0,0
PRT,0,,237,"1,665",,15,1,"4,858",31,,915,0,364,938,0,31,33,0,0,1,113,13,397,0,23,"1,074","32,670","22,267",,245,163,1,0,,1,"48,820",0,2,"7,115","2,580","1,645",2,9,2,6,5,6,"8,338",0,252,0,,,"11,555",C,"2,436",,0,,45,,,16,636,"1,305",140,0,"15,740",195,156,5,2,,"9,112","4,248",0,0
PRI,0,,C,0,,,0,2,269,,9,0,41,,0,3,,10,0,0,6,0,3,0,,0,9,0,,,0,0,0,,0,16,0,,1,2,,0,0,,,0,0,0,0,,0,,,8,,,,2,,0,0,,0,,,0,,0,0,0,0,0,,14,0,,0
QAT,0,,C,248,,"1,393",0,0,"1,174",,5,0,81,1,0,222,70,0,,1,11,,325,73,3,C,183,766,,,185,,,,0,700,0,,33,237,411,6,35,"1,919",,159,3,"1,318",1,,0,,,340,C,133,5,1,0,0,0,,0,C,,0,,C,7,304,131,0,,"1,455",0,0,0
REU,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,0,0,,0,,0,,,0,,,,0,0,0,,,0,,0,0,,,,0,0,,,2,,,0,,,,0,,0,0,,0,,,0,,0,0,0,,0,,0,0,,0
ROU,0,,C,"1,428",,,0,7,30,,0,114,16,,0,1,,0,,2,190,46,44,0,26,13,237,964,1,778,139,20,,,0,119,0,,238,6,240,0,10,,5,,17,"2,641",,,1,,,126,,0,,0,0,59,0,,1,C,85,31,,C,51,70,,0,,545,"1,149",,0
RUS,1,0,"1,443","1,601",,173,1,326,"1,593",1,10,7,"2,213",10,60,707,16,0,2,3,"1,689",221,"1,912",0,123,"1,815","4,723","3,609",,70,"4,852",61,1,,0,"2,176",16,6,735,"2,058",776,479,"1,636",,66,64,25,"22,445",969,,3,,0,"4,671",C,"4,427",1,6,0,75,0,2,,C,31,93,23,C,"4,697","2,677",152,7,,"17,738","51,334",1,0
RWA,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,35,,0,0,,0,,0,,,0,,,,0,0,0,,,0,8,0,0,,,,0,1,,,137,,,0,,2,,0,,0,0,,0,C,,0,,0,0,0,,0,,2,0,,0
SHN,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,0,0,,0,,0,,,0,,,,0,0,0,,,0,,0,0,,,,0,0,0,,0,,,0,,,,0,,0,0,,0,,,0,,0,0,0,,0,,0,0,,0
SPM,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,0,0,,0,,0,,,0,,,,0,0,0,,,0,,0,0,,,,0,0,,,0,,,0,,,,0,,0,0,,0,,,0,,0,0,0,,0,,0,0,,0
WSM,0,,0,0,,,0,,0,,4,0,,,0,0,,0,,,0,,0,0,,0,,0,,,0,,,,0,0,0,,,0,,0,0,,,,0,0,,,0,,,0,,,,0,,0,0,,0,,,0,,0,0,0,,0,,0,0,,0
SMR,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,0,0,,0,,0,,,0,,,,0,0,0,,62,0,,0,0,,,,0,1,,,0,,,0,,,,0,,0,0,,0,,,0,,0,0,0,,0,,0,0,,0
STP,0,,0,0,,,0,0,0,,0,0,,,0,0,,0,,,0,,0,0,,0,,0,,,0,,,,0,0,0,,,0,,0,0,,,,0,0,,,0,,,0,,,,0,,0,0,,0,,,0,,0,0,0,,0,,1,0,,0
SAU,0,,C,0,,955,0,4,43,,0,0,1,,0,202,,0,,,25,,14,338,,0,"1,589",0,,0,109,,0,0,6,3,16,,,9,250,0,1,"4,408",,252,0,21,317,,0,,,0,,,89,0,0,0,0,,0,C,,0,,0,0,42,,0,,"2,578",0,,2
SEN,0,,0,14,,,0,,43,,0,0,,,0,0,,0,,0,9,,69,0,,C,193,50,,,16,,,,0,14,0,,1,1,100,0,0,,0,,0,108,0,,21,,,21,,,,0,,0,0,,0,C,,0,,0,0,0,,0,,110,76,,0
SRB,0,,0,53,,,0,1,7,,0,1,3,,0,0,,0,,,190,,55,0,3,C,121,374,,273,19,,,,0,50,0,,25,27,8,0,0,57,1,,3,811,,,0,,,50,,,,0,,C,0,0,0,,0,44,,0,47,9,,0,,447,436,,0
SYC,0,,0,3,,,0,0,0,,0,0,,,0,0,,0,,,0,,11,0,,0,0,8,,0,13,,0,,0,6,0,,6,0,,0,0,,0,1,0,6,,,24,,,0,,,,0,,C,0,,29,,,0,,C,0,21,,0,,9,27,,0
SLE,0,,C,0,,,0,,0,,0,0,,,0,0,0,0,,,0,2,0,0,,0,,0,,,0,,,,0,0,0,,,0,5,0,0,,,,0,0,0,,6,,,41,,,,0,,0,0,,0,,,0,,0,0,0,,0,,65,0,,0
SGP,0,0,"2,550",101,,29,2,216,742,,2,0,"4,324",14,13,"7,861",183,0,,4,5,1,588,32,4,470,"1,170","1,576",1,1,527,0,2,21,491,"7,989",25,23,261,"12,202",436,17,793,9,0,0,2,"15,789","10,682",,"5,111",,9,"6,143",C,"1,425",,1,117,C,8,0,1,,,4,21,C,"1,100","1,274",625,1,,"17,448","59,552",,0
SXM,0,,0,0,,,1,,0,,0,0,,,0,0,,0,,,0,,0,,,,,0,,0,0,,,,0,0,,,"1,189",0,,0,0,,,,0,0,,,0,,,49,,,,0,,0,0,,0,,,0,,0,0,0,,0,,394,0,,0
