,ARG,ABW,AUS,AUT,BHS,BRB,BEL,BMU,BRA,BGR,CAN,CYM,CHL,HKG,MAC,COL,CRI,CYP,CZE,DNK,EGY,EST,FIN,FRA,DEU,GRC,GGY,HUN,ISL,IDN,IRL,IMN,ISR,ITA,JPN,JEY,KAZ,KOR,KWT,LBN,LUX,MYS,MLT,MUS,MEX,NLD,ANT,NZL,NOR,PAK,PAN,PHL,POL,PRT,ROU,RUS,SGP,SVK,ZAF,ESP,SWE,CHE,THA,TUR,UKR,GBR,USA,URY,VUT,VEN
IRN,0,0,,9,,,0,1,,,0,,0,1,,,,0,0,135,,,,5,38,0,6,,,,,0,,6,0,,,0,,0,98,,,,,0,,,,,,,0,,,1,,,0,0,95,18,0,,,C,,0,,0
IRQ,0,0,,0,,,0,0,,,0,,0,,,,,0,,0,,,,0,0,0,,,,,,0,,0,0,9,,0,,,1,,,,,4,,,,,,,0,,,0,,,0,0,0,0,0,,,0,,0,,0
IRL,0,0,461,"4,859",92,2,"7,708","4,976",14,9,"1,747",8,"1,579","3,393",47,43,,80,231,"2,332",,2,"4,228","35,770","41,964",201,"4,745",40,259,,,"1,886",44,"33,859","33,713","6,639",30,345,10,5,"24,811",0,39,49,150,"13,186",98,0,"1,631",,2,16,73,"7,258",,0,"2,209",2,"5,889","8,806","1,639","8,789",2,1,,"47,327","33,470",0,,0
IMN,0,0,,0,,,0,0,0,,0,,0,,,,,46,,23,,,,0,0,0,29,,0,,5,,,15,0,2,,0,,0,31,0,,0,,0,,,,,,,0,0,,0,,,51,0,0,515,0,,,"1,410",0,0,,0
ISR,0,0,26,192,,,44,19,10,,536,196,0,0,,,,0,0,184,,,3,372,318,27,44,0,1,,338,0,,256,999,21,,0,,,"1,034",,6,0,,347,2,0,18,,0,5,0,0,,0,18,,2,23,36,264,40,0,,"1,961","28,664",3,,0
ITA,21,0,"1,721","11,786",9,1,"60,897","1,707",42,36,"4,060",151,35,"1,381",38,2,0,132,578,"4,125",29,38,"6,955","181,419","109,505","1,356","4,790",11,15,0,"68,512",71,6,,"58,380","2,056",123,20,120,24,"107,395",17,406,16,,"56,718",220,35,"8,976",,1,5,92,"5,483",3,5,"2,189",138,43,"57,442","4,650","9,599",81,6,,"113,694","66,931",4,,5
JAM,0,0,,8,,,0,0,,,0,3,0,,,,0,0,,3,,,,11,71,0,,,,,,0,,75,0,7,,0,,,5,,,,,0,5,,,,,,0,,,0,,,0,8,0,8,0,,,C,40,0,,0
JPN,5,2,"8,858","1,910",4,8,"2,007","4,658",3,,"18,973",299,22,"10,443",62,3,,25,1,"3,058",128,1,925,"29,882","25,764",45,"1,780",8,58,3,"18,644",349,32,"11,683",,"2,251",179,255,4,5,"42,147",19,56,2,,"22,005",337,"1,393","12,153",,,14,1,126,,4,"8,306",1,412,"1,436","8,504","12,366",1,4,,"109,018","291,850",0,0,1
JEY,0,0,,"2,412",,,"3,526",556,,1,53,105,0,C,9,,,0,,186,,,204,"3,408","12,096",213,652,,11,,"2,271",89,,"5,851",0,,,0,33,1,"5,817",26,15,81,,"7,281",1,,,,,,231,"4,314",,0,8,,"2,021",156,44,"28,835",0,,,"32,226","10,456",0,,0
JOR,0,0,,0,,,0,0,,,0,,0,,,,,6,,0,15,,,0,0,0,3,,,,0,0,,0,0,,,0,1,2,2,,,,,0,,,0,,,,0,,,0,,,0,0,0,0,0,,,36,57,0,,0
