,ARG,ABW,AUS,AUT,BHS,BHR,BRB,BEL,BMU,BRA,BGR,CAN,CYM,CHL,HKG,MAC,COL,CRI,CYP,CZE,DNK,EGY,EST,FIN,FRA,DEU,GIB,GRC,GGY,HUN,ISL,IND,IDN,IRL,IMN,ISR,ITA,JPN,JEY,KAZ,KOR,KWT,LVA,LBN,LUX,MYS,MLT,MUS,MEX,NLD,ANT,NZL,NOR,PAK,PAN,PHL,POL,PRT,ROU,RUS,SGP,SVK,ZAF,ESP,SWE,CHE,THA,TUR,UKR,GBR,USA,URY,VEN
ABW,0,,0,7,,,,,1,0,0,0,16,0,16,,,,20,,0,0,,,25,8,,,0,,,,,4,0,,0,"1,455",4,0,0,,,,14,,,,,92,155,0,25,,1,,0,0,0,0,,,,0,0,1,,,,"1,522",908,,0
AUS,43,1,,"2,203",8,209,806,"4,213","3,681",2,0,"8,241",299,357,"34,279",664,4,4,726,88,655,0,34,900,"17,521","15,833",1,54,"1,176",9,5,3,106,"19,755",151,294,"2,868","64,595","2,777",584,"1,096",,4,6,"32,161",170,166,186,4,"14,598",24,"6,280","7,990",,8,0,C,761,0,780,"20,191",1,45,"3,630","4,523","11,972","1,002",,,"62,098","145,542",1,0
AUT,53,,574,,13,38,2,"9,317",444,"2,118",48,961,22,20,387,22,23,1,525,"1,882","1,025",3,244,"2,765","61,620","83,732",28,274,"2,031",758,2,,,"10,903",29,193,"21,212","16,055","2,535",47,8,,15,5,"32,390",5,424,1,,"16,980",20,0,"5,071",,3,,548,"1,484",426,23,693,683,20,"5,353","1,004","36,297",82,25,,"13,598","9,923",15,0
AZE,0,,0,0,,,,,0,0,0,2,,0,0,,,,0,,8,0,1,,,0,,,3,,,,,0,0,,,0,9,0,0,,1,,63,,,,,1,,0,1,,0,,0,0,0,7,,,,0,4,11,,,,116,0,,0
BHS,0,,0,32,,5,,149,111,"1,012",0,40,593,295,101,7,,0,15,0,126,7,0,0,802,7,23,,538,,,,,451,2,,140,"2,237",531,39,15,130,,0,"1,661",17,,5,89,348,404,0,33,,0,0,0,43,0,22,,,1,C,24,"2,043",,,,169,"1,284",0,0
BHR,0,,C,13,,,,0,0,0,0,8,,0,86,6,,,39,,1,143,,0,-3,40,,1,105,,,,,125,2,,6,11,35,0,11,"7,635",,92,49,69,,19,,180,,0,1,0,0,0,0,5,0,0,131,,,0,0,38,,10,,"1,024",,,0
BGD,0,,0,0,,,,,0,0,0,0,,0,214,,,1,0,,121,0,,0,,0,,,0,,,,,7,0,,,0,,0,8,0,,,8,,,21,,0,,0,,,0,,0,0,0,0,,,,0,0,0,,,,36,47,,0
BRB,0,,0,14,4,,,97,17,0,0,25,10,0,C,,,,31,0,1,0,,,0,26,,,5,0,,,,443,0,,3,11,111,0,0,,,,64,,,,,0,,0,0,,1,,0,0,0,0,,,,0,0,3,19,,,97,400,0,0
BLR,0,,0,0,,,,,0,0,0,0,,0,0,,,,0,,0,0,0,,,0,,,0,,0,,,0,0,,,0,,0,0,,0,,0,,,,,0,,0,,,0,,0,0,0,1,,,,0,2,0,,,,1,0,,0
BEL,1,,690,"4,179",,122,0,,512,101,1,"1,199",13,134,535,13,14,12,297,"3,384","1,322",11,65,"2,279","76,750","26,565",20,145,765,151,3,0,0,"12,923",9,70,"9,629","17,025",796,429,113,0,13,10,"50,232",1,184,26,,"22,356",364,0,"5,997",0,2,0,37,"2,024",6,8,"1,354",23,7,"7,635","1,298","6,867",14,,,"16,858","23,231",2,0
